name,active,seq,vert,seq_index,vert_index,order,tag,file,deliverable_display_name,deliverable_identifier,deliverable_description,deliverable_duedate
Code interview test: Sorting a 2D array,TRUE,Week 7,Halfday 1,7,0,2,,module-1/week-3/kata-sorting-2d-array.md,,,,
Bonus: Advanced Command Line,TRUE,Week 7,Halfday 1,7,0,3,SELF_GUIDED,module-1/week-1/self-guided/command-line.md,,,,
Project development,TRUE,Week 7,Halfday 2,7,1,0,PROJECT,other/project-dev.md,,,,
Presentation practice (optional),TRUE,Week 7,Halfday 2,7,1,1,PROJECT,other/presentations.md,,,,
Stand ups,TRUE,Week 7,Halfday 3,7,2,0,PROJECT,other/stand-ups.md,,,,
Code interview test: TGI Friday!!,TRUE,Week 7,Halfday 3,7,2,1,,module-1/week-3/kata-tgi-friday.md,,,,
Survey,TRUE,Week 7,Halfday 4,7,3,0,RITUALS,md/survey.md,,,,
Project development,TRUE,Week 7,Halfday 4,7,3,0,PROJECT,other/project-dev.md,,,,
Presentation practice (mandatory),TRUE,Week 7,Halfday 4,7,3,1,PROJECT,other/presentations.md,,,,
Project development,TRUE,Week 8,Halfday 1,8,0,1,PROJECT,other/project-dev.md,,,,
Presentations - Project #1,TRUE,Week 8,Halfday 2,8,1,0,,other/final-presentation.md,,,,
Votes and medalists,TRUE,Week 8,Halfday 2,8,1,,RITUALS,md/votes-and-medalist-project1.md,,,,
Replay,FALSE,Week 8,Halfday 2,8,1,,EXTRA,md/replay-w8h2.md,,,,
Project retrospective,TRUE,Week 8,Halfday 3,8,2,0,RITUALS,other/project-retro.md,,,,
Project feedback,TRUE,Week 8,Halfday 3,8,2,1,RITUALS,other/project-feedback.md,,,,
JS | Destructuring Assignment and Parameter Handling,TRUE,Week 8,Halfday 3,8,2,2,,module-1/week-2/js-es6-advanced.md,,,,
Survey,TRUE,Week 8,Halfday 4,8,3,0,RITUALS,md/survey.md,,,,
1on1s,TRUE,Week 8,Halfday 4,8,3,1,RITUALS,md/1on1s-01.md,,,,
Katas,TRUE,Week 8,Halfday 4,8,3,2,RITUALS,md/kata-04.md,,,,
ES6 | Promises,TRUE,Week 8,Halfday 4,8,3,3,,module-2/week-4/js-es6-promises.md,,,,
LAB | #Promise me a dinner,FALSE,Week 8,Halfday 4,8,3,4,LAB,module-2/labs/lab-es6-promises.md,,,,
Reinforcements,FALSE,Week 8,Halfday 4,8,3,5,EXTRA,md/reinforcements-01.md,,,,
LAB | ES6 JavaScript Koans,TRUE,Week 8,Halfday 4,8,3,6,SELF_GUIDED,module-2/labs/lab-es6-javascript-koans.md,,,,
How the Internet works,TRUE,Week 9,Halfday 1,9,0,1,,module-2/week-4/self-guided/how-does-the-internet-work.md,,,,
Node | The Internet & HTTP Server,TRUE,Week 9,Halfday 1,9,0,2,,module-2/week-4/node-http.md,,,,
Node | Intro & Installation,TRUE,Week 9,Halfday 1,9,0,3,,module-2/week-4/node-npm-intro.md,,,,
LAB | Intro Node,TRUE,Week 9,Halfday 1,9,0,4,LAB,module-2/labs/lab-intro-node.md,,,,
Replay,FALSE,Week 9,Halfday 1,9,0,5,RITUALS,md/replay-w9h1.md,,,,
Express | Introduction,TRUE,Week 9,Halfday 2,9,1,0,,module-2/week-4/express-intro.md,,,,
LAB | Express Basic Site,TRUE,Week 9,Halfday 2,9,1,1,LAB,module-2/labs/lab-express-basic-site.md,,,,
Replay,FALSE,Week 9,Halfday 2,9,1,2,RITUALS,md/replay-w9h2.md,,,,
Express | Dynamic Views,TRUE,Week 9,Halfday 3,9,2,0,,module-2/week-4/express-dynamic-views.md,,,,
Express | Layouts & Partials,TRUE,Week 9,Halfday 3,9,2,1,,module-2/week-4/express-layouts.md,,,,
What is an API?,TRUE,Week 9,Halfday 3,9,2,2,,module-2/week-5/api-microservices.md,,,,
LAB | IronBeers,TRUE,Week 9,Halfday 3,9,2,3,LAB,module-2/labs/lab-ironbeers.md,,,,
Replay,FALSE,Week 9,Halfday 3,9,2,4,RITUALS,md/replay-w9h3.md,,,,
Survey,TRUE,Week 9,Halfday 4,9,3,0,RITUALS,md/survey.md,,,,
LAB Review | Intro Node,FALSE,Week 9,Halfday 4,9,3,1,RITUALS,md/labreview-intro-node.md,,,,
Kata Review,TRUE,Week 9,Halfday 4,9,3,2,RITUALS,md/katareview01.md,,,,
Protip 01,TRUE,Week 9,Halfday 4,9,3,3,RITUALS,md/protip01.md,,,,
MongoDB | Introduction,TRUE,Week 9,Halfday 4,9,3,4,,module-2/week-4/mongo-intro.md,,,,
MongoDB | Shell & CRUD operations,TRUE,Week 9,Halfday 4,9,3,5,SELF_GUIDED,module-2/week-4/mongo-shell-crud.md,,,,
MongoDB | MongoDB Compass CRUD Operations,TRUE,Week 9,Halfday 4,9,3,6,,module-2/week-4/mongo-compass-crud.md,,,,
LAB | MongoDB - Advanced Querying,TRUE,Week 9,Halfday 4,9,3,7,LAB,module-2/labs/lab-advance-querying-mongo.md,,,,
Replay,FALSE,Week 9,Halfday 4,9,3,8,RITUALS,md/replay-w9h4.md,,,,
MongoDB | Indexing & Aggregation Framework,TRUE,Week 9,Halfday 4,9,3,9,SELF_GUIDED,module-2/week-4/self-guided/mongo-advanced.md,,,,
Mongoose | Introduction,TRUE,Week 10,Halfday 1,10,0,0,,module-2/week-4/mongoose-intro.md,,,,
"Mongoose | Schemas, Models & Documents",TRUE,Week 10,Halfday 1,10,0,1,,module-2/week-4/mongoose-schemas-models-documents.md,,,,
LAB | Mongoose Recipes,TRUE,Week 10,Halfday 1,10,0,2,LAB,module-2/labs/lab-mongoose-recipes.md,,,,
Replay,FALSE,Week 10,Halfday 1,10,0,3,RITUALS,md/replay-w10h1.md,,,,
Reinforcement session,TRUE,Week 10,Halfday 2,10,1,0,,module-1/week-1/recap.md,,,,
Replay,FALSE,Week 10,Halfday 2,10,1,1,RITUALS,md/replay-w10h2.md,,,,
Kata Review,TRUE,Week 10,Halfday 3,10,2,0,RITUALS,md/katareview02.md,,,,
CodeWars,FALSE,Week 10,Halfday 3,10,2,1,KATA,module-1/week-1/self-guided/codewars.md,,,,
Express | GET Method - Route Params & Query String,TRUE,Week 10,Halfday 3,10,2,2,,module-2/week-4/express-get-params.md,,,,
